antivirus_name,platform,protection,performance,usability,periods_tested,rating_score,rank,scenario
Avast Free Antivirus,Windows,6.0,6.0,6.0,5,1.0,1,Default (50/20/30)
Bitdefender Total Security,Windows,6.0,6.0,6.0,5,1.0,1,Default (50/20/30)
G Data Internet Security,Windows,6.0,6.0,6.0,1,1.0,1,Default (50/20/30)
TotalAV Antivirus Pro,Windows,6.0,6.0,6.0,1,1.0,1,Default (50/20/30)
Microsoft Defender Antivirus,Windows,6.0,6.0,6.0,5,1.0,1,Default (50/20/30)
Norton 360,Windows,6.0,6.0,6.0,5,1.0,1,Default (50/20/30)
McAfee Total Protection,Windows,6.0,6.0,6.0,3,1.0,1,Default (50/20/30)
Kaspersky Premium,Windows,6.0,6.0,6.0,5,1.0,1,Default (50/20/30)
AVG Antivirus Free,Windows,6.0,5.9,6.0,5,0.9818004108154131,9,Default (50/20/30)
F-Secure Total,Windows,6.0,5.75,6.0,2,0.9555289999171839,10,Default (50/20/30)
ESET Security Ultimate,Windows,6.0,5.5,6.0,5,0.9144198149278034,11,Default (50/20/30)
Avira Internet Security for Windows,Windows,6.0,5.0,6.0,2,0.8417477396673742,12,Default (50/20/30)
Malwarebytes Premium,Windows,5.5,6.0,6.0,1,0.786213897328405,13,Default (50/20/30)
K7 Total Security,Windows,5.25,5.75,6.0,2,0.6914502675061456,14,Default (50/20/30)
EnigmaSoft SpyHunter,Windows,4.5,6.0,3.5,1,0.15825226033262588,15,Default (50/20/30)
Avast Free Antivirus,Windows,6.0,6.0,6.0,5,1.0,1,Protection-heavy (70/15/15)
Bitdefender Total Security,Windows,6.0,6.0,6.0,5,1.0,1,Protection-heavy (70/15/15)
G Data Internet Security,Windows,6.0,6.0,6.0,1,1.0,1,Protection-heavy (70/15/15)
TotalAV Antivirus Pro,Windows,6.0,6.0,6.0,1,1.0,1,Protection-heavy (70/15/15)
Microsoft Defender Antivirus,Windows,6.0,6.0,6.0,5,1.0,1,Protection-heavy (70/15/15)
Norton 360,Windows,6.0,6.0,6.0,5,1.0,1,Protection-heavy (70/15/15)
McAfee Total Protection,Windows,6.0,6.0,6.0,3,1.0,1,Protection-heavy (70/15/15)
Kaspersky Premium,Windows,6.0,6.0,6.0,5,1.0,1,Protection-heavy (70/15/15)
AVG Antivirus Free,Windows,6.0,5.9,6.0,5,0.9868877315669501,9,Protection-heavy (70/15/15)
F-Secure Total,Windows,6.0,5.75,6.0,2,0.9677834446746594,10,Protection-heavy (70/15/15)
ESET Security Ultimate,Windows,6.0,5.5,6.0,5,0.9374151262999626,11,Protection-heavy (70/15/15)
Avira Internet Security for Windows,Windows,6.0,5.0,6.0,2,0.8819702672300614,12,Protection-heavy (70/15/15)
Malwarebytes Premium,Windows,5.5,6.0,6.0,1,0.6974811517483058,13,Protection-heavy (70/15/15)
K7 Total Security,Windows,5.25,5.75,6.0,2,0.5538996746875313,14,Protection-heavy (70/15/15)
EnigmaSoft SpyHunter,Windows,4.5,6.0,3.5,1,0.11802973276993856,15,Protection-heavy (70/15/15)
Avast Free Antivirus,Windows,6.0,6.0,6.0,5,1.0,1,Balanced (33/33/34)
Bitdefender Total Security,Windows,6.0,6.0,6.0,5,1.0,1,Balanced (33/33/34)
G Data Internet Security,Windows,6.0,6.0,6.0,1,1.0,1,Balanced (33/33/34)
TotalAV Antivirus Pro,Windows,6.0,6.0,6.0,1,1.0,1,Balanced (33/33/34)
Microsoft Defender Antivirus,Windows,6.0,6.0,6.0,5,1.0,1,Balanced (33/33/34)
Norton 360,Windows,6.0,6.0,6.0,5,1.0,1,Balanced (33/33/34)
McAfee Total Protection,Windows,6.0,6.0,6.0,3,1.0,1,Balanced (33/33/34)
Kaspersky Premium,Windows,6.0,6.0,6.0,5,1.0,1,Balanced (33/33/34)
AVG Antivirus Free,Windows,6.0,5.9,6.0,5,0.9689229016027959,9,Balanced (33/33/34)
F-Secure Total,Windows,6.0,5.75,6.0,2,0.9248765641704001,10,Balanced (33/33/34)
ESET Security Ultimate,Windows,6.0,5.5,6.0,5,0.8582229850624805,11,Balanced (33/33/34)
Malwarebytes Premium,Windows,5.5,6.0,6.0,1,0.8539236011338627,12,Balanced (33/33/34)
K7 Total Security,Windows,5.25,5.75,6.0,2,0.7780728591702228,13,Balanced (33/33/34)
Avira Internet Security for Windows,Windows,6.0,5.0,6.0,2,0.749063975658926,14,Balanced (33/33/34)
EnigmaSoft SpyHunter,Windows,4.5,6.0,3.5,1,0.250936024341074,15,Balanced (33/33/34)
Avast Free Antivirus,Windows,6.0,6.0,6.0,5,1.0,1,Performance-focus (30/50/20)
Bitdefender Total Security,Windows,6.0,6.0,6.0,5,1.0,1,Performance-focus (30/50/20)
G Data Internet Security,Windows,6.0,6.0,6.0,1,1.0,1,Performance-focus (30/50/20)
TotalAV Antivirus Pro,Windows,6.0,6.0,6.0,1,1.0,1,Performance-focus (30/50/20)
Microsoft Defender Antivirus,Windows,6.0,6.0,6.0,5,1.0,1,Performance-focus (30/50/20)
Norton 360,Windows,6.0,6.0,6.0,5,1.0,1,Performance-focus (30/50/20)
McAfee Total Protection,Windows,6.0,6.0,6.0,3,1.0,1,Performance-focus (30/50/20)
Kaspersky Premium,Windows,6.0,6.0,6.0,5,1.0,1,Performance-focus (30/50/20)
AVG Antivirus Free,Windows,6.0,5.9,6.0,5,0.9419146054079159,9,Performance-focus (30/50/20)
F-Secure Total,Windows,6.0,5.75,6.0,2,0.8606003128843012,10,Performance-focus (30/50/20)
Malwarebytes Premium,Windows,5.5,6.0,6.0,1,0.8359264303637257,11,Performance-focus (30/50/20)
ESET Security Ultimate,Windows,6.0,5.5,6.0,5,0.7420831591585575,12,Performance-focus (30/50/20)
K7 Total Security,Windows,5.25,5.75,6.0,2,0.7199422662122659,13,Performance-focus (30/50/20)
Avira Internet Security for Windows,Windows,6.0,5.0,6.0,2,0.574273217916649,14,Performance-focus (30/50/20)
EnigmaSoft SpyHunter,Windows,4.5,6.0,3.5,1,0.425726782083351,15,Performance-focus (30/50/20)
